system_id,RetirementSystemName,NumberofPlans,NumberofEmployers,fy,fund_id,actives_tot,InactiveVestedMembers,InactiveNonVested,beneficiaries_tot,beneficiaries_ServiceRetirees,beneficiaries_survivors,beneficiaries_SpousalSurvivors,beneficiaries_other,DROPMembers,OtherMembers,TotMembership,BegMktAssets_net,contrib_EE_regular,contrib_ER_regular,contrib_ER_state,contrib_EE_PurchaseService,contrib_EE_other,contrib_ER_other,contrib_other,contrib_tot,FairValueChange_investments,FairValueChange_RealEstate,income_interest,income_dividends,income_InterestAndDividends,income_RealEstate,income_PrivateEquity,income_alternatives,income_international,income_OtherInvestments,expense_RealEstate,expense_PrivateEquity,expense_alternatives,expense_OtherInvestments,expense_investments,income_SecuritiesLending,expense_SecuritiesLending,income_SecuritiesLendingRebate,income_OtherAdditions,income_net,expense_TotBenefits,expense_RetBenefits,expense_DisabilityBenefits,expense_DeathBenefits,expense_DROPBenefits,expense_SurvivorBenefits,expense_COLABenefits,expense_LumpSumBenefits,expense_OtherBenefits,expense_refunds,expense_AdminExpenses,expense_Depreciation,expense_OtherDeductions,expense_net,adjustment_MktAssets,MktAssets_net,ppd_system_directory_listed,RetirementSystemDesc,sys_DataStartYear,sys_DataEndYear,RetirementSystemStateAbbrev,Source,L
1,Alabama ERS,2,1141,2011,1,87305,11536,,37894,,,,,2593,,139328,8397974,196253,405904,,,,,2110,604267,-117719,,,,314005,,,,,,,,,,-2308,,-2109,-539,,803258,,-809336,,-36832,,,,,,,-10278,-2029,-2157,-860632,,8340570,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2012,1,85967,10509,,39427,,,,,2708,,138611,8340570,218450,328267,,,,,2101,548818,1146849,,,,317496,,,,,,,,,,-2256,,-1880,-186,,2015687,,-875647,,-40999,,,,,,,-10873,-1981,-2180,-931680,,9424577,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2013,1,84378,11524,,34919,,,,,3528,,137378,9424577,225500,352722,,,,,2065,580287,1009921,,,,317132,,,,,,,,,,-2549,,-1763,-196,,1908992,,-924587,,-45033,,,,,,,-10047,-2015,-3587,-985269,,10348300,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2014,1,82934,11868,14488,37842,,,,,4202,,182923,10348300,226816,406971,,,,,2964,636751,912500,,,,305079,,,,,,,,,,-2766,,-1306,-22,,1854624,,-978304,,-47991,,,,,,,-9893,-2055,-3632,-1041876,,11161048,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2015,1,84326,8532,19203,40636,,,,,1940,,184407,11161048,229406,426009,,,,,3531,658946,-193849,,,,318214,,,,,,,,,,-2771,,-1508,-171,,784580,,-1048863,,-51124,,,,,,,-11492,-2046,-4114,-1117369,-12211,10815778,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2016,1,84156,8835,19139,43561,,,,,1095,,186135,10815778,235439,452627,,,,,6301,694367,775138,,,,304234,,,,,,,,,,-2883,,-2876,-1414,,1775719,,-1069410,,-45883,,,,,,,-11399,-2021,-3668,-1132381,,11459116,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2017,1,84940,3128,18854,45857,,,,,,,183007,11459116,234199,443588,,,,,3674,681511,1124498,,,,309205,,,,,,,,,,-3305,,-4947,-3514,,2116309,,-1083147,,-48036,,,,,,,-12316,-2520,-4357,-1150376,,12425049,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2018,1,85788,11989,18716,46798,,,,,,,194939,12425049,240598,443520,,,,,5010,689128,795203,,,,330653,,,,,,,,,,-3395,,-7264,-5781,,1815162,,-1130302,,-45200,,,,,,,-11547,-2544,-5415,-1195008,-7537,13037666,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2019,1,87746,9510,22929,48157,,,,,,,198002,13037666,254165,485575,,,,,4376,744116,33568,,,,298474,,,,,,,,,,-3661,,-10991,-9612,,1075717,,-1160059,,-49321,,,,,,,-13291,-2895,-6803,-1232369,,12881014,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2020,1,84900,17537,19104,51903,,,,,,,173444,12881014,270081,537905,,,,,349797,1157783,441805,,,,305698,,,,,,,,,,-3828,,-3548,-2037,,1904572,,-1248249,,-47001,,,,,,,-13485,-3411,-4344,-1316490,,13469096,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2021,1,85850,21774,20116,54823,,,,,,,182563,13469096,286128,534662,,,,,4790,825580,2615246,,,,309491,,,,,,,,,,-4003,,-1846,-40,,3750259,,-1299248,,-54185,,,,,,,-11351,-3520,-118,-1374550,,15844805,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
1,Alabama ERS,2,1141,2022,1,84939,25065,21127,55867,,,,,,,186998,15844805,307971,580486,,,,,6606,897742,-2333691,,,,337204,,,,,,,,,,-3544,,-3586,-2390,,-1099497,,-1364199,,-59303,,,,,,,-11749,-3551,-6494,-1448600,,13296708,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2001,1,130066,15405,,48845,43644,2329,,,,,194316,17249025,228088,279880,,,,,2530,510498,-1860162,,,,769739,,,,,,,,,,-3467,43671,-40487,-39692,,-580208,-846052,-811896,,,,,,,-34156,,-6023,-1002,-1207,-854284,,15814533,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2002,1,128649,16908,,52256,45741,2441,,973,973,,197813,15814533,233789,265670,,,,,1937,501396,-1915592,,,,672200,,,,,,,,,,-4592,16473,-13246,-12462,,-743361,-893893,-858383,,,,,,,-35510,,-6845,-391,-2091,-903220,,14167952,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2003,1,129617,16250,,56263,47685,2557,,2711,2711,,202130,14167952,249996,235786,,,,,2022,487804,1412887,,,,592645,,,,,,,,,,-4432,14215,-10884,-10052,,2492235,-964771,-932687,,,,,,,-32084,,-7011,-367,-2418,-974567,,15685620,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2004,1,131814,14588,,60934,50127,2740,,4468,4468,,207336,15685620,251714,312474,,,,,2146,566334,1055525,,,,580000,,,,,,,,,,-4079,10704,-7836,-7206,,2200648,-1023744,-987761,,,,,,,-35983,,-7361,-439,-1575,-1033119,,16853149,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2005,1,135126,14520,,64362,52717,3010,,4839,4839,,214008,16853149,260149,347862,,,,,2707,610718,1221059,,,,624397,,,,,,,,,,-4278,40399,-35179,-33559,,2457116,-1129073,-1092723,,,,,,,-36350,,-10372,-468,-1829,-1141742,,18168523,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2006,1,138613,16913,,66768,54286,3160,,5375,5375,,222294,18168523,278220,434195,,,,,3235,715650,878743,,,,703189,,,,,,,,,,-4947,84052,-78678,-77407,,2298009,-1243934,-1207251,,,,,,,-36683,,-11325,-462,-3008,-1258729,,19207803,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2007,1,141217,16781,,69500,57041,3275,,5071,5071,,227498,19207803,302272,540847,,,,,2814,845933,2589858,,,,719910,,,,,,,,,,-5105,136869,-128736,-126966,,4158729,-1435282,-1397808,,,,,,,-37474,,-9614,-480,-2406,-1447782,,21918750,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2008,1,141528,16791,,72097,59263,3430,,5169,5169,,230416,21918750,323822,729995,,,,,3182,1056999,-4057823,,,,705555,,,,,,,,,,-5990,83588,-62027,-57695,,-2279698,-1524188,-1486871,,,,,,,-37317,,-12216,-578,-1683,-1538665,,18100387,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2009,1,137935,17265,,74621,61345,3563,,5340,5340,,229821,18100387,321100,753518,,,,,2606,1077224,-2083048,,,,580656,,,,,,,,,,-5419,33782,-11097,,,-407902,-1554597,-1512260,,,,,,,-42337,,-11005,,-5895,-1571497,,16120988,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2010,1,136290,20163,,77428,63450,3715,,5737,5737,,233881,16120988,319770,776421,,,,,1633,1097824,886997,,,,559941,,,,,,,,,,-5415,12519,-5730,-2820,,2546136,-1611418,-1567790,,,,,,,-43628,,-11979,-4264,-1790,-1629451,,17037673,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2011,1,135768,17559,,80248,66067,3846,,5625,5625,,233575,17037673,321137,779644,,,,,2059,1102840,-278407,,,,624546,,,,,,,,,,-5305,15643,-4512,-1261,,1454805,-1723185,-1673881,,,,,,,-49304,,-10820,-4243,-2012,-1740260,,16752218,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2012,1,133791,18568,,82806,69401,4020,,4436,4436,,235165,16752218,456518,618306,,,,,2016,1076840,2349955,,,,634695,,,,,,,,,,-5260,13670,-3898,-433,,4066002,-1850258,-1800805,,,,,,,-49453,,-11555,-4344,-1937,-1868094,,18950126,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2013,1,133919,17643,,84774,72376,4217,,3029,3029,,236336,18950126,474241,627892,,,,,3345,1105478,2090646,,,,638766,,,,,,,,,,-5712,12753,-3747,-401,,3838184,-1949212,-1893321,,,,,,,-55891,,-12591,-4312,-1823,-1967938,,20820372,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2014,1,135230,15402,29841,86957,75467,4404,,1748,1748,,237589,20820372,477300,739547,,,,,3549,1220396,1853288,,,,618861,,,,,,,,,,-5732,9629,-2894,-65,,3693548,-2052294,-1997595,,,,,,,-54699,,-13103,-4336,-2880,-2072613,,22441307,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2015,1,135986,15916,29071,89332,78547,4563,,699,699,,241234,22441307,473903,737671,,,,,4015,1215589,-381400,,,,640910,,,,,,,,,,-6407,11512,-3147,-365,,1477057,-2133362,-2075302,,,,,,,-58060,,-15074,-4258,-3432,-2156126,-14507,21747731,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2016,1,136731,16770,29349,91574,81127,4775,,,,,245075,21747731,472390,751902,,,,,3590,1227882,1589279,,,,607795,,,,,,,,,,-7731,15930,-5869,-2825,,3427286,-2212914,-2155784,,,,,,,-57130,,-14873,-4709,-6223,-2238719,,22936298,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2017,1,136941,17564,30228,93850,83038,5050,,,,,248355,22936298,486542,782695,,,,,3096,1272333,2021774,,,,613353,,,,,,,,,,-8685,20125,-10462,-7350,,3908438,-2167464,-2111830,,,,,,,-55634,,-16390,-6012,-3413,-2193279,,24651457,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2018,1,137161,17513,31648,96231,85172,5199,,,,,250905,24651457,488503,802598,,,,,29663,1320764,1615440,,,,650293,,,,,,,,,,-9171,23246,-15574,-12385,,3584998,-2262569,-2204031,,,,,,,-58538,,-15952,-6338,-4899,-2289767,-11255,25935433,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2019,1,136325,20875,29660,98539,87085,5489,,,,,255739,25935433,516675,869336,,,,,6234,1392245,33671,,,,583329,,,,,,,,,,-9205,28905,-22273,-19431,,2006672,-2290375,-2233514,,,,,,,-56861,,-20583,-7512,-4187,-2322657,,25619448,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2020,1,132707,24655,30490,100866,89196,5712,,,,,258228,25619448,510818,862475,,,,,4787,1378080,801465,,,,576193,,,,,,,,,,-9719,13960,-7543,-4423,,2752436,-2389493,-2328892,,,,,,,-60601,,-21957,-9154,-4891,-2425495,,25946389,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2021,1,134034,26329,31446,103071,91200,5954,,,,,263434,25946389,519627,874401,,,,,6505,1400533,5155012,,,,576552,,,,,,,,,,-11191,11019,-3553,-108,,7128372,-2478875,-2415128,,,,,,,-63747,,-20402,-9133,-4421,-2512831,,30561930,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
2,Alabama Teachers,1,1141,2022,1,135783,29312,34892,105549,93393,6252,,,,,270644,30561930,553615,932332,,335,,,67917,1554199,-4500179,,,,629210,,,,,,,,,,-11573,12606,-6991,-4585,,-2322728,-2624113,-2555391,,,,,,,-68722,,-18945,-9060,-6213,-2658331,,25580871,1,"RSA administers pension and other benefits for most public employees in Alabama. The System consists of the Teachers' Retirement System; the Employees' Retirement System, which includes state employees, state police officers, and employees of political subdivisions that have elected to participate in the RSA; and the Judicial Retirement Fund.",2001,2022,AL,2014 ERS TRS CAFR p 29,
3,Alaska Public Employees Retirement System,1,156,2001,2,32441,6187,11403,16274,16274,,,,,,54902,6272529,67537,68604,,,,,,136141,-558855,,125703,107221,232924,,,,,,,,,,-14123,,,,5,-203908,-259771,-259771,,,,,,,,-9339,-3322,,,-272432,,5796189,1,"Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investment Board to the AK Retirement Management Board. This legislation also closed the TRS and the PERS to new members hired after June 30, 2006. Employees hired after this date participate only in a defined contribution plan.",2001,2022,AK,2014 PERS CAFR p 35,
3,Alaska Public Employees Retirement System,1,156,2002,2,33242,5702,11301,17215,17215,,,,,,56159,5796189,71558,67385,,,,,,138943,-502081,,116210,79222,195432,,,,,,,,,,-12162,,,,73,-179795,-279731,-279731,,,,,,,,-9150,-3756,,,-292637,,5323757,1,"Alaska PERS administers pension and other benefits for state employees and employees of political subdivisions that have elected to participate. Legislation approved in 2005 transferred responsibility for asset management from the AK State Pension Investment Board to the AK Retirement Management Board. This legislation also closed the TRS and the PERS to new members hired after June 30, 2006. Employees hired after this date participate only in a defined contribution plan.",2001,2022,AK,2014 PERS CAFR p 35,
